Country,Continent,ISO_Code,Level,GDLCODE,Region,Year,shdi,healthindex,edindex,incindex,sgdi,shdif,shdim,healthindexf,healthindexm,edindexf,edindexm,incindexf,incindexm,lifexp,lifexpf,lifexpm,msch,mschf,mschm,pop
Afghanistan,Asia/Pacific,AFG,National,AFGt,Total,2022,0.462,0.66,0.381,0.391,0.622,0.332,0.534,0.673,0.65,0.263,0.498,0.208,0.471,62.88,66.21,59.77,2.515,1.174,3.913,41129
Albania,Europe,ALB,National,ALBt,Total,2022,0.789,0.874,0.74,0.76,0.977,0.78,0.798,0.876,0.877,0.735,0.745,0.738,0.779,76.83,79.47,74.5,10.12,9.811,10.43,2778
Algeria,Africa,DZA,National,DZAt,Total,2022,0.745,0.879,0.663,0.71,0.881,0.682,0.774,0.861,0.898,0.668,0.659,0.551,0.783,77.13,78.46,75.85,6.987,6.491,7.482,44903
Andorra,Europe,AND,National,ANDt,Total,2022,0.884,0.978,0.742,0.951,,,,0.974,0.984,0.739,0.746,,,83.55,85.84,81.43,11.61,11.52,11.7,79.8
Angola,Africa,AGO,National,AGOt,Total,2022,0.591,0.645,0.533,0.601,0.905,0.561,0.62,0.647,0.644,0.469,0.598,0.581,0.618,61.93,64.54,59.35,5.844,4.463,7.188,35589
"Antigua and Barbuda",America,ATG,National,ATGt,Total,2022,0.826,0.911,0.782,0.791,,,,0.91,0.908,0.81,0.752,,,79.24,81.65,76.51,10.55,10.34,10.6,93.8
"Argentina urban",America,ARG,National,ARGt,Total,2022,0.849,0.863,0.871,0.815,0.995,0.841,0.845,0.873,0.852,0.88,0.838,0.775,0.847,76.06,79.28,72.85,11.14,11.39,10.86,46235
Armenia,Asia/Pacific,ARM,National,ARMt,Total,2022,0.786,0.821,0.778,0.761,1.026,0.795,0.775,0.861,0.775,0.789,0.768,0.74,0.782,73.37,78.45,67.87,11.33,11.32,11.34,2780
Australia,Asia/Pacific,AUS,National,AUSt,Total,2022,0.946,0.978,0.924,0.936,,,,,,0.927,0.921,0.909,0.96,83.58,,,12.73,12.81,12.64,26006
Austria,Europe,AUT,National,AUTt,Total,2022,0.926,0.96,0.865,0.957,0.972,0.912,0.938,0.955,0.964,0.869,0.862,0.912,0.993,82.41,84.6,80.15,12.31,12.05,12.58,9042
Azerbaijan,Asia/Pacific,AZE,National,AZEt,Total,2022,0.76,0.823,0.705,0.757,0.961,0.743,0.773,0.827,0.816,0.693,0.718,0.717,0.789,73.49,76.25,70.55,10.56,10.22,10.92,10142
"Bahamas, The",America,BHS,National,BHSt,Total,2022,0.82,0.836,0.755,0.874,1.007,0.822,0.817,0.851,0.819,0.765,0.745,0.853,0.894,74.36,77.84,70.76,12.73,12.83,12.66,410
Bahrain,Asia/Pacific,BHR,National,BHRt,Total,2022,0.888,0.911,0.821,0.935,0.937,0.847,0.904,0.892,0.934,0.832,0.809,0.82,0.978,79.25,80.5,78.24,11.05,10.78,11.17,1472
Bangladesh,Asia/Pacific,BGD,National,BGDt,Total,2022,0.67,0.826,0.578,0.631,0.914,0.635,0.694,0.823,0.831,0.57,0.587,0.545,0.686,73.7,76.01,71.51,7.379,6.755,8.021,171186
Barbados,America,BRB,National,BRBt,Total,2022,0.809,0.888,0.789,0.755,1.03,0.815,0.792,0.878,0.895,0.845,0.714,0.73,0.778,77.71,79.58,75.68,9.892,10.35,9.099,282
Belarus,Europe,BLR,National,BLRt,Total,2022,0.801,0.819,0.796,0.788,1.003,0.801,0.799,0.86,0.778,0.796,0.797,0.752,0.822,73.25,78.38,68.09,12.24,12.27,12.21,9228
Belgium,Europe,BEL,National,BELt,Total,2022,0.942,0.958,0.918,0.949,0.975,0.929,0.952,0.952,0.964,0.917,0.918,0.918,0.976,82.29,84.37,80.16,12.53,12.5,12.55,11686
Belize,America,BLZ,National,BLZt,Total,2022,0.7,0.784,0.64,0.684,0.982,0.691,0.704,0.803,0.773,0.657,0.623,0.626,0.725,70.96,74.69,67.72,8.848,9.042,8.653,405
Benin,Africa,BEN,National,BENt,Total,2022,0.504,0.615,0.391,0.533,0.848,0.462,0.544,0.603,0.627,0.332,0.456,0.492,0.565,59.95,61.68,58.27,3.137,2.06,4.401,13353
Bhutan,Asia/Pacific,BTN,National,BTNt,Total,2022,0.681,0.804,0.557,0.705,0.97,0.67,0.69,0.795,0.816,0.551,0.56,0.685,0.72,72.23,74.15,70.57,5.836,5.212,6.33,782
Bolivia,America,BOL,National,BOLt,Total,2022,0.698,0.691,0.745,0.662,0.965,0.686,0.711,0.699,0.689,0.728,0.764,0.636,0.684,64.93,67.91,62.27,9.828,9.217,10.49,12224
"Bosnia and Herzegovina",Europe,BIH,National,BIHt,Total,2022,0.779,0.851,0.72,0.772,0.952,0.759,0.797,0.846,0.856,0.709,0.734,0.728,0.807,75.29,77.5,73.13,10.54,9.778,11.35,3234
Botswana,Africa,BWA,National,BWAt,Total,2022,0.708,0.706,0.665,0.755,0.998,0.707,0.708,0.706,0.705,0.672,0.657,0.743,0.767,65.91,68.4,63.33,10.42,10.36,10.47,2630
